titre,entreprise,secteur,localisation,competences,experience,contrat,description,source,text_for_matching,text_clean,cluster_dbscan
"Ingénieur Avant-Vente – IT, Réseaux, Sécurité & Systèmes Intégrés",ALOMRA GROUP,Nettoyage / Sécurité / Gardiennage,Casablanca (Maroc),,"Lancer 4K Ingénieur Avant-Vente – IT, Réseaux, Sécurité & Systèmes Intégrés | Casablanca (Maroc) 3 Ingénieur Avant-Vente IT, Réseaux, Sécurité & Systèmes Intégrés recherché par ALOMRA Group pour concevoir et soutenir des offres techniques complexes.",CDI,"Emploi - ALOMRA GROUP Entreprise: ALOMRA GROUP Secteur: Nettoyage / Sécurité / Gardiennage Description: Fondée en 2004, Alomra est un acteur de premier plan dans la conception et la mise en œuvre de solutions innovantes dans les domaines de la défense et la sécurité, des technologies et de l’innovation ainsi que dans le facility management et la gestion des risques. Alomra est un intégrateur de solutions à hautes valeurs ajoutées répondant aux défis complexes avec une expertise certaine et un engagement d’excellence. Servant des institutions étatiques et des entreprises privées, Alomra est... Fondée en 2004, Alomra est un acteur de premier plan dans la conception et la mise en œuvre de solutions innovantes dans les domaines de la défense et la sécurité, des technologies et de l’innovation ainsi que dans le facility management et la gestion des risques. Alomra est un intégrateur de solutions à hautes valeurs ajoutées répondant aux défis complexes avec une expertise certaine et un engagement d’excellence. Servant des institutions étatiques et des entreprises privées, Alomra est présente notamment en Afrique et au Moyen-Orient, en collaborant avec des partenaires internationaux",rekrute,"Ingénieur Avant-Vente – IT, Réseaux, Sécurité & Systèmes Intégrés Nettoyage / Sécurité / Gardiennage Emploi - ALOMRA GROUP Entreprise: ALOMRA GROUP Secteur: Nettoyage / Sécurité / Gardiennage Description: Fondée en 2004, Alomra est un acteur de premier plan dans la conception et la mise en œuvre de solutions innovantes dans les domaines de la défense et la sécurité, des technologies et de l’innovation ainsi que dans le facility management et la gestion des risques. Alomra est un intégrateur de solutions à hautes valeurs ajoutées répondant aux défis complexes avec une expertise certaine et un engagement d’excellence. Servant des institutions étatiques et des entreprises privées, Alomra est... Fondée en 2004, Alomra est un acteur de premier plan dans la conception et la mise en œuvre de solutions innovantes dans les domaines de la défense et la sécurité, des technologies et de l’innovation ainsi que dans le facility management et la gestion des risques. Alomra est un intégrateur de solutions à hautes valeurs ajoutées répondant aux défis complexes avec une expertise certaine et un engagement d’excellence. Servant des institutions étatiques et des entreprises privées, Alomra est présente notamment en Afrique et au Moyen-Orient, en collaborant avec des partenaires internationaux",ingenieur vent reseal securit systeme integre nettoyage securit gardiennage emploi alomra group entreprise alomrer group secteur nettoyage securit gardiennage description fondee alomra acteur plan conception mise uvre solution innovant domaine defense securite technologie linnovation facility management gestion risque alomra integrateur solution haute valeur ajoutee reponder defi complexe expertise engagement dexcellence servir institution etatique entreprise privee alomrer fondee alomra acteur plan conception mise uvre solution innovant domaine defense securite technologie linnovation facility management gestion risque alomra integrateur solution haute valeur ajoutee reponder defi complexe expertise engagement dexcellence servir institution etatique entreprise privee alomrer present afrique moyen orient collaborant partenaire international,-1
Informatique / Electronique- Télécom / Réseaux- Secteur Indifférent,,,,,"avec les systèmes d'exploitation serveurs (Windows Server, Linux).",CDI,"Technicien Réseau Informatique - Casablanca Informatique / Electronique - Télécom / Réseaux - Secteur Indifférent Intermédiaire (3 à 5 ans) 1 poste(s) sur Casablanca et région - Maroc Bac +2 Minimum - Université Créativité Volonté de persuasion Flexibilité Besoin de réflexion Travail en équipe Organisation CDI Télétravail : Non Publiée il y a 25 jours sur ReKrute.com - Postulez avant le 19/05/2026 J'aime Entreprise : Rejoignez une entreprise marocaine de référence, acteur clé dans des secteurs stratégiques. Engagé en faveur du développement durable et de l’innovation, le groupe offre à ses talents un environnement stimulant, des parcours de carrière diversifiés et une culture d’entreprise fondée sur la performance et la responsabilité. Vous souhaitez donner du sens à votre parcours professionnel ? Venez construire l’avenir avec nous. Poste : Rejoignez une entreprise dynamique dans son secteur à Casablanca en tant que Technicien Réseau Informatique , ce poste représente une opportunité unique de mettre à p",rekrute,"Informatique / Electronique- Télécom / Réseaux- Secteur Indifférent Technicien Réseau Informatique - Casablanca Informatique / Electronique - Télécom / Réseaux - Secteur Indifférent Intermédiaire (3 à 5 ans) 1 poste(s) sur Casablanca et région - Maroc Bac +2 Minimum - Université Créativité Volonté de persuasion Flexibilité Besoin de réflexion Travail en équipe Organisation CDI Télétravail : Non Publiée il y a 25 jours sur ReKrute.com - Postulez avant le 19/05/2026 J'aime Entreprise : Rejoignez une entreprise marocaine de référence, acteur clé dans des secteurs stratégiques. Engagé en faveur du développement durable et de l’innovation, le groupe offre à ses talents un environnement stimulant, des parcours de carrière diversifiés et une culture d’entreprise fondée sur la performance et la responsabilité. Vous souhaitez donner du sens à votre parcours professionnel ? Venez construire l’avenir avec nous. Poste : Rejoignez une entreprise dynamique dans son secteur à Casablanca en tant que Technicien Réseau Informatique , ce poste représente une opportunité unique de mettre à p",informatique electronique telecom reseal secteur indifferent technicien reseau informatique casablanca informatique electronique telecom reseal secteur indifferent intermediair post casablanca region maroc bac minimum universite creativite volont persuasion flexibilit besoin reflexion travail equipe organisation cdi teletravail non publiee jour rekrute com postulez aime entreprise rejoindre entreprise marocain reference acteur cle secteur strategique engager faveur developpement durable linnovation groupe offrir talent environnement stimuler parcours carriere diversifie culture dentreprise fondee performance responsabilite souhaiter donner sens parcours professionnel venir construire lavenir poste rejoindre entreprise dynamique secteur casablanca technicien reseau informatique poste represente opportunite unique mettre,33
Production / Qualité / Sécurité / Maintenance - Secteur Agriculture / Environnement - Agroalimentaire,,,,,,CDI,"Mécanicien - Chefchaouen Production / Qualité / Sécurité / Maintenance - Secteur Agriculture / Environnement - Agroalimentaire Confirmé (5 à 10 ans) 1 poste(s) sur Tanger et région - Maroc Bac +2 Minimum - Formation spécialisée Respect des règles Besoin d'objectivité Rationalisme Ténacité Organisation CDI Télétravail : Non Publiée il y a 26 jours sur ReKrute.com - Postulez avant le 18/05/2026 J'aime Entreprise : Dans le cadre du renforcement de sa Direction Technique, une entreprise pharmaceutique recrute un Mécanicien pour son Service Maintenance. Poste : Mission principale : Effectuer les travaux mécaniques curatifs et préventifs nécessaires à maintenir les équipements de production du département en état de fonctionnement selon les règles de sécurité et les impératifs de production (délais, qualité, ...) Activités principales : Localiser l’origine d’une panne éventuelle Réaliser la réparation, l'entretien, le réglage, la révision e",rekrute,"Production / Qualité / Sécurité / Maintenance - Secteur Agriculture / Environnement - Agroalimentaire Mécanicien - Chefchaouen Production / Qualité / Sécurité / Maintenance - Secteur Agriculture / Environnement - Agroalimentaire Confirmé (5 à 10 ans) 1 poste(s) sur Tanger et région - Maroc Bac +2 Minimum - Formation spécialisée Respect des règles Besoin d'objectivité Rationalisme Ténacité Organisation CDI Télétravail : Non Publiée il y a 26 jours sur ReKrute.com - Postulez avant le 18/05/2026 J'aime Entreprise : Dans le cadre du renforcement de sa Direction Technique, une entreprise pharmaceutique recrute un Mécanicien pour son Service Maintenance. Poste : Mission principale : Effectuer les travaux mécaniques curatifs et préventifs nécessaires à maintenir les équipements de production du département en état de fonctionnement selon les règles de sécurité et les impératifs de production (délais, qualité, ...) Activités principales : Localiser l’origine d’une panne éventuelle Réaliser la réparation, l'entretien, le réglage, la révision e",production qualit securite maintenance secteur agricultur environnement agroalimentaire mecanicien chefchaouen production qualit securite maintenance secteur agricultur environnement agroalimentaire confirme post tanger region maroc bac minimum formation specialise respect regle besoin objectivite rationalisme tenacite organisation cdi teletravail non publiee jour rekrute com postulez aime entreprendre cadre renforcement direction technique entreprise pharmaceutique recrute mecanicien service maintenance poste mission principal effectuer travail mecanique curatif preventif necessaire maintenir equipement production departement etat fonctionnement regle securite imperatif production delai qualite principal localiser lorigine dune pann eventuell realiser reparation entretien reglage revision,-1
Méthodes / Process / Industrialisation - Secteur Agroalimentaire - Autres Industries,,,,,souhaitable en maintenance et/ou en analyse des risques industriels.,CDI,"Ingénieur Procédés industriels - Casablanca Méthodes / Process / Industrialisation - Secteur Agroalimentaire - Autres Industries Intermédiaire (3 à 5 ans) - Confirmé (5 à 10 ans) 1 poste(s) sur Casablanca et région - Maroc Bac +5 et plus - Ecole d'ingénieur Recherche de nouveauté Respect des règles Rationalisme Flexibilité Besoin de réflexion Besoin d'autonomie Implication au travail Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 26 jours sur ReKrute.com - Postulez avant le 18/05/2026 J'aime Entreprise : Leader national spécialisé dans les produits de grande consommation, notre politique de recrutement innovante et dynamique permet à nos collaborateurs de s’épanouir dans une organisation à la pointe du progrès. Nous vous assurons une bonne gestion de votre carrière et un accompagnement personnalisé pour développer vos compétences. Pour accompagner notre fort développement, n",rekrute,"Méthodes / Process / Industrialisation - Secteur Agroalimentaire - Autres Industries Ingénieur Procédés industriels - Casablanca Méthodes / Process / Industrialisation - Secteur Agroalimentaire - Autres Industries Intermédiaire (3 à 5 ans) - Confirmé (5 à 10 ans) 1 poste(s) sur Casablanca et région - Maroc Bac +5 et plus - Ecole d'ingénieur Recherche de nouveauté Respect des règles Rationalisme Flexibilité Besoin de réflexion Besoin d'autonomie Implication au travail Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 26 jours sur ReKrute.com - Postulez avant le 18/05/2026 J'aime Entreprise : Leader national spécialisé dans les produits de grande consommation, notre politique de recrutement innovante et dynamique permet à nos collaborateurs de s’épanouir dans une organisation à la pointe du progrès. Nous vous assurons une bonne gestion de votre carrière et un accompagnement personnalisé pour développer vos compétences. Pour accompagner notre fort développement, n",methode process industrialisation secteur agroalimentaire industrie ingenieur procede industriel casablanca methode process industrialisation secteur agroalimentaire industrie intermediair confirmer post casablanca region maroc bac ecole ingenieur recherche nouveaute respect regle rationalisme flexibilit besoin reflexion besoin autonomie implication travail organisation cdi teletravail non post management publiee jour rekrute com postulez aime entreprise leader national specialis produit grand consommation politique recrutement innovant dynamique permettre collaborateur sepanouir organisation pointe progre assurer bon gestion carriere accompagnement personnalis developper competence accompagner fort developpement,33
Electricité - Secteur Agriculture / Environnement - Agroalimentaire,,,,,,CDI,"Électricien - Chefchaouen Electricité - Secteur Agriculture / Environnement - Agroalimentaire Confirmé (5 à 10 ans) Tanger et région - Maroc Bac +2 - Formation spécialisée Respect des règles Flexibilité Travail en équipe Implication au travail Organisation CDI Télétravail : Non Publiée il y a 26 jours sur ReKrute.com - Postulez avant le 18/05/2026 J'aime Entreprise : Dans le cadre du renforcement de sa Direction Technique, une entreprise pharmaceutique recrute un Électricien pour son Service Maintenance. Poste : Mission principale : Effectuer les travaux électriques curatifs et préventifs nécessaires à maintenir les équipements de production en bon état de fonctionnement selon les règles de sécurité et les impératifs de production (délais, qualité, ...) Activités principales : Localiser l’origine d’une panne éventuelle Réaliser la réparation, l'entretien, le réglage, la révision et le paramétrage des équipements électriques et installations de production du département Contrôler l'état de fonctionnement des",rekrute,"Electricité - Secteur Agriculture / Environnement - Agroalimentaire Électricien - Chefchaouen Electricité - Secteur Agriculture / Environnement - Agroalimentaire Confirmé (5 à 10 ans) Tanger et région - Maroc Bac +2 - Formation spécialisée Respect des règles Flexibilité Travail en équipe Implication au travail Organisation CDI Télétravail : Non Publiée il y a 26 jours sur ReKrute.com - Postulez avant le 18/05/2026 J'aime Entreprise : Dans le cadre du renforcement de sa Direction Technique, une entreprise pharmaceutique recrute un Électricien pour son Service Maintenance. Poste : Mission principale : Effectuer les travaux électriques curatifs et préventifs nécessaires à maintenir les équipements de production en bon état de fonctionnement selon les règles de sécurité et les impératifs de production (délais, qualité, ...) Activités principales : Localiser l’origine d’une panne éventuelle Réaliser la réparation, l'entretien, le réglage, la révision et le paramétrage des équipements électriques et installations de production du département Contrôler l'état de fonctionnement des",electricite secteur agriculture environnement agroalimentaire electricien chefchaouen electricite secteur agriculture environnement agroalimentaire confirme tanger region maroc bac formation specialise respect regle flexibilit travail equipe implication travail organisation cdi teletravail non publiee jour rekrute com postulez aime entreprendre cadre renforcement direction technique entreprise pharmaceutique recrute electricien service maintenance poste mission principal effectuer travail electrique curatif preventif necessaire maintenir equipement production bon etat fonctionnement regle securite imperatif production delai qualite principal localiser lorigine dune pann eventuell realiser reparation entretien reglage revision parametrage equipement electrique installation production departement controler etat fonctionnement,-1
Chef de Service Marketing,SMM-Socodam-Davum,BTP / Génie Civil,CASABLANCA (Maroc),,"Lancer 4K Chef de Service Marketing | CASABLANCA (Maroc) 2 Chef de Service Marketing recherché par Smm-Socodam-Davum, acteur majeur de l'industrie des matériaux de construction. Vos missions incluront la veille concurrentielle, la gestion de la commu",CDI,"Emploi - SMM-Socodam-Davum Entreprise: SMM-Socodam-Davum Secteur: BTP / Génie Civil Postes proposés: 2 Description: Smm-Socodam-Davum, acteur de référence dans l’industrie des matériaux de construction et de la métallurgie, joue depuis près d’un siècle, un rôle grandissant dans le développement des infrastructures de base du Maroc moderne. Smm-Socodam-Davum fait partie du groupe Safari Grâce à son savoir-faire unique, elle a contribué notamment à la réalisation de barrages hydrauliques, de ponts autoroutiers, de ports, de complexes sportifs et culturels et bien d’autres édifices... Smm-Socodam-Davum , acteur de référence dans l’industrie des matériaux de construction et de la métallurgie, joue depuis près d’un siècle, un rôle grandissant dans le développement des infrastructures de base du Maroc moderne. Smm-Socodam-Davum fait partie du groupe Safari Grâce à son savoir-faire unique, elle a contribué notamment à la réalisation de barrages hydrauliques, de ponts autoroutiers, de ports, de complexes sportifs et culturels et bien d’autres édifices à connotation socio-économique. Smm-Socodam-Davum est le fruit d’une alliance stratégique et d’une fusion historique entre la Société",rekrute,"Chef de Service Marketing BTP / Génie Civil Emploi - SMM-Socodam-Davum Entreprise: SMM-Socodam-Davum Secteur: BTP / Génie Civil Postes proposés: 2 Description: Smm-Socodam-Davum, acteur de référence dans l’industrie des matériaux de construction et de la métallurgie, joue depuis près d’un siècle, un rôle grandissant dans le développement des infrastructures de base du Maroc moderne. Smm-Socodam-Davum fait partie du groupe Safari Grâce à son savoir-faire unique, elle a contribué notamment à la réalisation de barrages hydrauliques, de ponts autoroutiers, de ports, de complexes sportifs et culturels et bien d’autres édifices... Smm-Socodam-Davum , acteur de référence dans l’industrie des matériaux de construction et de la métallurgie, joue depuis près d’un siècle, un rôle grandissant dans le développement des infrastructures de base du Maroc moderne. Smm-Socodam-Davum fait partie du groupe Safari Grâce à son savoir-faire unique, elle a contribué notamment à la réalisation de barrages hydrauliques, de ponts autoroutiers, de ports, de complexes sportifs et culturels et bien d’autres édifices à connotation socio-économique. Smm-Socodam-Davum est le fruit d’une alliance stratégique et d’une fusion historique entre la Société",chef service marketing btp geni civil emploi smm socodam davum entreprise smm socodam davum secteur btp geni civil poste propose description smm socodam davum acteur reference lindustrie materiau construction metallurgie joue pre dun siecle role grandissant developpement infrastructure base maroc moderne smm socodam davum partie groupe safari grace savoir faire unique contribuer realisation barrage hydraulique pont autoroutier port complexe sportif culturel bien dautre edifice smm socodam davum acteur reference lindustrie materiau construction metallurgie joue pre dun siecle role grandissant developpement infrastructure base maroc moderne smm socodam davum partie groupe safari grace savoir faire unique contribuer realisation barrage hydraulique pont autoroutier port complexe sportif culturel bien dautre edifice connotation socio economiqu smm socodam davum fruit dun alliance strategiqu dune fusion historique entrer societe,-1
Assistanat de Direction / Services Généraux - Secteur Comptabilité / Audit,,,,Tableau,,CDI,"Office Manager - Casablanca Assistanat de Direction / Services Généraux - Secteur Comptabilité / Audit Intermédiaire (3 à 5 ans) 1 poste(s) sur Casablanca et région - Maroc Bac +3 Minimum - BTS / DUT Conventionnel Extraversion Flexibilité Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 26 jours sur ReKrute.com - Postulez avant le 18/05/2026 J'aime Entreprise : Nous sommes un cabinet d'audit, d’expertise comptable et de conseil, inscrit au tableau de l’Ordre des Experts Comptables du Maroc et membre du réseau Moore Stephens International. Notre activité s'articule principalement autour du contrôle légal des sociétés, des missions d'audit contractuel, de supervision comptable, de conseil juridique et fiscal. Nous intervenons également sur des missions à forte valeur ajoutée telles que l'audit d'acquisition, le conseil financier et le conseil en organisation. Poste : Missions principales : En tant qu’Office Manager, vous",rekrute,"Assistanat de Direction / Services Généraux - Secteur Comptabilité / Audit Tableau Office Manager - Casablanca Assistanat de Direction / Services Généraux - Secteur Comptabilité / Audit Intermédiaire (3 à 5 ans) 1 poste(s) sur Casablanca et région - Maroc Bac +3 Minimum - BTS / DUT Conventionnel Extraversion Flexibilité Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 26 jours sur ReKrute.com - Postulez avant le 18/05/2026 J'aime Entreprise : Nous sommes un cabinet d'audit, d’expertise comptable et de conseil, inscrit au tableau de l’Ordre des Experts Comptables du Maroc et membre du réseau Moore Stephens International. Notre activité s'articule principalement autour du contrôle légal des sociétés, des missions d'audit contractuel, de supervision comptable, de conseil juridique et fiscal. Nous intervenons également sur des missions à forte valeur ajoutée telles que l'audit d'acquisition, le conseil financier et le conseil en organisation. Poste : Missions principales : En tant qu’Office Manager, vous",assistanat direction service general secteur comptabilite audit tableau office manager casablanca assistanat direction service general secteur comptabilite audit intermediair post casablanca region maroc bac minimum bts devoir conventionnel extraversion flexibilit organisation cdi teletravail non post management publiee jour rekrute com postulez aime entreprise cabinet audit dexpertis comptable conseil inscrire tableau lordre expert comptable maroc membre reseau moor stephen international articuler principalement autour controle legal societe mission audit contractuel supervision comptable conseil juridique fiscal intervenon egalemer mission fort valeur ajoutee audit acquisition conseil financier conseil organisation poste mission principal quoffice manager,-1
Production / Qualité / Sécurité / Maintenance- Méthodes / Process / Industrialisation- Secteur Distribution -,,,,,,CDI,"Ingénieur Responsable Technique & Actifs - Casablanca Production / Qualité / Sécurité / Maintenance - Méthodes / Process / Industrialisation - Secteur Distribution - Intermédiaire (3 à 5 ans) 1 poste(s) sur Casablanca et région - Maroc Bac +5 et plus Minimum - Ecole d'ingénieur Recherche de nouveauté Respect des règles Ténacité Créativité Besoin d'objectivité Flexibilité Besoin de réflexion Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 27 jours sur ReKrute.com - Postulez avant le 23/04/2026 J'aime Entreprise : Une filiale du Groupe LabelVie recrute ! Poste : Rattaché à la direction des Actifs, votre rôle est d’assurer le bon état de fonctionnement des équipements du site en vue de répondre aux objectifs en matière de coût, hygiène, qualité et sécurité. Pour cela, vos domaines d’activités sont: Gestion technique du site Suivi des prestataires Maintenance préventive et curative Reporting d'exploitation Profil recherché : De formation Bac+5 Master/Ingénieur, vous justifiez d'",rekrute,"Production / Qualité / Sécurité / Maintenance- Méthodes / Process / Industrialisation- Secteur Distribution - Ingénieur Responsable Technique & Actifs - Casablanca Production / Qualité / Sécurité / Maintenance - Méthodes / Process / Industrialisation - Secteur Distribution - Intermédiaire (3 à 5 ans) 1 poste(s) sur Casablanca et région - Maroc Bac +5 et plus Minimum - Ecole d'ingénieur Recherche de nouveauté Respect des règles Ténacité Créativité Besoin d'objectivité Flexibilité Besoin de réflexion Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 27 jours sur ReKrute.com - Postulez avant le 23/04/2026 J'aime Entreprise : Une filiale du Groupe LabelVie recrute ! Poste : Rattaché à la direction des Actifs, votre rôle est d’assurer le bon état de fonctionnement des équipements du site en vue de répondre aux objectifs en matière de coût, hygiène, qualité et sécurité. Pour cela, vos domaines d’activités sont: Gestion technique du site Suivi des prestataires Maintenance préventive et curative Reporting d'exploitation Profil recherché : De formation Bac+5 Master/Ingénieur, vous justifiez d'",production qualit securite maintenance methode process industrialisation secteur distribution ingenieur responsable technique actif casablanca production qualit securite maintenance methode process industrialisation secteur distribution intermediair post casablanca region maroc bac minimum ecole ingenieur recherche nouveaute respect regle tenacite creativite besoin objectivite flexibilit besoin reflexion organisation cdi teletravail non post management publiee jour rekrute com postulez aime entreprise filiale groupe labelvie recrute post rattache direction actif role dassurer bon etat fonctionnement equipement site vue repondre objectif matiere cout hygiene qualit securite celer domaine dactivite gestion technique site prestataire maintenance preventiv curatif reporting exploitation profil recherche formation bac master ingenieur justifier,33
Directeur Administratif et Financier,Aba Technology,Informatique,Casablanca (Maroc),,"Lancer 4K Directeur Administratif et Financier | Casablanca (Maroc) 2 ABA Technology recherche un Directeur Administratif et Financier expérimenté (10-15 ans) avec une expertise en Big4 et en entreprise. Vous piloterez la performance financière, la f",CDI,"Emploi - Aba Technology Entreprise: Aba Technology Secteur: Informatique Postes proposés: 3 Description: ABA Technology se positionne en tant que co-constructeur de grandes transformations disruptives – une galaxie technologique – avec comme mission de contribuer au développement des nations plus connectées, durables et résilientes par la puissance de l’électronique, du numérique et du life science. ABA Technology se positionne en tant que co-constructeur de grandes transformations disruptives – une galaxie technologique – avec comme mission de contribuer au développement des nations plus connectées, durables et résilientes par la puissance de l’électronique, du numérique et du life science. [-] Suivre 1 - 3 sur 3 Page 1 sur 1 Directeur Administratif et Financier | Casablanca (Maroc) 2 ABA Technology recherche un Directeur Administratif et Financier expérimenté (10-15 ans) avec une expertise en Big4 et en entreprise. Vous piloterez la performance financière, la fiscalité, le contrôle de gestion et la trésorerie dans un environnement multi-entités. Idéal pour un leader stratégique et analytique souhaitant structurer les proce",rekrute,"Directeur Administratif et Financier Informatique Emploi - Aba Technology Entreprise: Aba Technology Secteur: Informatique Postes proposés: 3 Description: ABA Technology se positionne en tant que co-constructeur de grandes transformations disruptives – une galaxie technologique – avec comme mission de contribuer au développement des nations plus connectées, durables et résilientes par la puissance de l’électronique, du numérique et du life science. ABA Technology se positionne en tant que co-constructeur de grandes transformations disruptives – une galaxie technologique – avec comme mission de contribuer au développement des nations plus connectées, durables et résilientes par la puissance de l’électronique, du numérique et du life science. [-] Suivre 1 - 3 sur 3 Page 1 sur 1 Directeur Administratif et Financier | Casablanca (Maroc) 2 ABA Technology recherche un Directeur Administratif et Financier expérimenté (10-15 ans) avec une expertise en Big4 et en entreprise. Vous piloterez la performance financière, la fiscalité, le contrôle de gestion et la trésorerie dans un environnement multi-entités. Idéal pour un leader stratégique et analytique souhaitant structurer les proce",directeur administratif financier informatique emploi aba technology entreprise aba technology secteur informatique poste propose description aba technology positionner constructeur grand transformation disruptif galaxie technologique mission contribuer developpement nation connectee durable resilienter puissance lelectroniqu numeriqu life science aba technology positionner constructeur grand transformation disruptif galaxie technologique mission contribuer developpement nation connectee durable resilienter puissance lelectroniqu numeriqu life science page directeur administratif financier casablanca maroc aba technology recherche directeur administratif financier experiment expertise big entreprise piloter performance financiere fiscalite controle gestion tresorerie environnement multi entite ideal leader strategiqu analytique souhaiter structurer proce,-1
Assistant - Travel Agency - Casablanca,Hayyak Tourism,Tourisme / Voyage / Loisirs,Casablanca (Maroc),,"Lancer 4K Assistant - Travel Agency - Casablanca | Casablanca (Maroc) 3 Hayyak Tourism recherche un(e) Assistant(e) dynamique à Casablanca pour soutenir les opérations quotidiennes et l'équipe. Ce rôle implique la gestion d'agendas, l'organisation de",CDI,"Emploi - Hayyak Tourism Entreprise: Hayyak Tourism Secteur: Tourisme / Voyage / Loisirs Postes proposés: 1 Description: Hayyak Tourism is a Moroccan travel company offering authentic and personalized experiences across the country’s cities, mountains, and deserts. We provide tailor-made tours, professional local guides, and reliable service to ensure every visitor discovers the true beauty and culture of Morocco. Our mission is to combine excellence with deep respect for local communities and environments. Join a passionate, dynamic team and help us create unforgettable journeys for our clients—especially in the high-potential Gulf markets . Hayyak Tourism is a Moroccan travel company offering authentic and personalized experiences across the country’s cities, mountains, and deserts. We provide tailor-made tours, professional local guides, and reliable service to ensure every visitor discovers the true beauty and culture of Morocco. Our mission is to combine excellence with deep respect for local communities and environments. Join a passionate, dynamic team and help us create unforgettable journeys for our clients—especially in the high-potential Gulf markets . [-] Suivre 1",rekrute,"Assistant - Travel Agency - Casablanca Tourisme / Voyage / Loisirs Emploi - Hayyak Tourism Entreprise: Hayyak Tourism Secteur: Tourisme / Voyage / Loisirs Postes proposés: 1 Description: Hayyak Tourism is a Moroccan travel company offering authentic and personalized experiences across the country’s cities, mountains, and deserts. We provide tailor-made tours, professional local guides, and reliable service to ensure every visitor discovers the true beauty and culture of Morocco. Our mission is to combine excellence with deep respect for local communities and environments. Join a passionate, dynamic team and help us create unforgettable journeys for our clients—especially in the high-potential Gulf markets . Hayyak Tourism is a Moroccan travel company offering authentic and personalized experiences across the country’s cities, mountains, and deserts. We provide tailor-made tours, professional local guides, and reliable service to ensure every visitor discovers the true beauty and culture of Morocco. Our mission is to combine excellence with deep respect for local communities and environments. Join a passionate, dynamic team and help us create unforgettable journeys for our clients—especially in the high-potential Gulf markets . [-] Suivre 1",assister travel agency casablanca tourisme voyage loisir emploi hayyak tourism entreprendre hayyak tourism secteur tourism voyage loisir poste propose description hayyak tourism moroccan travel company offering authentic and personalized experience the country citie mountain and deserts provide tailor made tour professional local guide and reliable service ensure every visitor discover the true beauty and culture morocco our mission combine excellence with deep respect for local communitier and environment join passionate dynamic team and help create unforgettabl journeys for our clientsespecially the high potential gulf market hayyak tourism moroccan travel company offering authentic and personalized experience the country citie mountain and deserts provide tailor made tour professional local guide and reliable service ensure every visitor discover the true beauty and culture morocco our mission combine excellence with deep respect for local communitier and environment join passionate dynamic team and help create unforgettabl journeys for our clientsespecially the high potential gulf market,30
