titre,entreprise,secteur,localisation,competences,experience,contrat,text_clean
Méthodes / Process / Industrialisation                                                                 - Secteur Agroalimentaire								- Autres Industries,,,,"Ingénieur Procédés industriels - Casablanca Méthodes / Process / Industrialisation                                                                 - Secteur Agroalimentaire								- Autres Industries Intermédiaire (3 à 5 ans)                                     - Confirmé (5 à 10 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +5 et plus 
                                     - Ecole d'ingénieur Recherche de nouveauté Respect des règles Rationalisme Flexibilité Besoin de réflexion Besoin d'autonomie Implication au travail Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 26 jours sur ReKrute.com -
                                Postulez avant le 18/05/2026 J'aime Entreprise : Leader national spécialisé dans les produits de grande consommation, notre politique de recrutement innovante et dynamique permet à nos collaborateurs de s’épanouir dans une organisation à la pointe du progrès. Nous vous assurons une bonne gestion de votre carrière et un accompagnement personnalisé pour développer vos compétences. Pour accompagner notre fort développement, n",souhaitable en maintenance et/ou en analyse des risques industriels.,CDI,méthode process industrialisation secteur agroalimentaire industrie ingénieur procédé industriel casablanca méthode process industrialisation secteur agroalimentaire industrie intermédiaire confirmer poste casablanca région maroc ecole ingénieur recherche nouveauté respect règle rationalisme flexibiliter besoin réflexion besoin autonomie implication travail organisation télétravail post management publier jour rekrute postulez aime entreprise leader national spécialiser produit grand consommation politique recrutement innovant dynamique collaborateur épanouir organisation pointe progrès assurer gestion carrière accompagnement personnaliser développer compétence accompagner fort développement
Electricité                                                                 - Secteur Agriculture / Environnement 								- Agroalimentaire,,,,"Électricien - Chefchaouen Electricité                                                                 - Secteur Agriculture / Environnement 								- Agroalimentaire Confirmé (5 à 10 ans) Tanger et région                                     - Maroc Bac +2 
                                     - Formation spécialisée Respect des règles Flexibilité Travail en équipe Implication au travail Organisation CDI Télétravail : Non Publiée il y a 26 jours sur ReKrute.com -
                                Postulez avant le 18/05/2026 J'aime Entreprise : Dans le cadre du renforcement de sa Direction Technique, une entreprise pharmaceutique recrute un Électricien pour son Service Maintenance. Poste : Mission principale : Effectuer les travaux électriques curatifs et préventifs nécessaires à maintenir les équipements de production en bon état de fonctionnement selon les règles de sécurité et les impératifs de production (délais, qualité, ...) Activités principales : Localiser l’origine d’une panne éventuelle Réaliser la réparation, l'entretien, le réglage, la révision et le paramétrage des équipements électriques et installations de production du département Contrôler l'état de fonctionnement des",,CDI,electricité secteur agricultur environnement agroalimentaire électricien chefchaouen electricité secteur agricultur environnement agroalimentaire confirmer tanger région maroc formation spécialiser respect règle flexibilité travail équipe implication travail organisation télétravail publier jour rekrute postulez aime entreprendre cadre renforcement direction technique entreprise pharmaceutique recrute électricien service maintenance poste mission principal effectuer travail électrique curatif préventif nécessaire maintenir équipement production état fonctionnement règle sécurité impératif production délai qualité principal localiser origine pann éventuel réaliser réparation entretien réglage révision paramétrage équipement électrique installation production départemer contrôler état fonctionnement
Informatique / Electronique                                                                 - Secteur Informatique,,,,"Responsable Cybersécurité (RSSI) - Casablanca Informatique / Electronique                                                                 - Secteur Informatique Expert (10 à 20 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +5 et plus Minimum
                                     - Ecole d'ingénieur Recherche de nouveauté Besoin de réflexion Besoin d'autonomie Implication au travail Ambition CDI Télétravail : Hybride Poste avec Management Publiée il y a 26 jours sur ReKrute.com -
                                Postulez avant le 18/05/2026 J'aime Entreprise : - Poste : Définir et déployer la politique de sécurité SI Piloter la gestion des risques cyber et la conformité (ISO 27001, etc.) Superviser la sécurité opérationnelle (SOC, gestion des incidents, vulnérabilités) Intégrer la sécurité dans les projets IT (security by design) Assurer le pilotage des audits et le suivi des recommandations Mettre en place des indicateurs de performance sécurité (KPI) Sensibiliser les équipes aux enjeux de cybersécurité Profil recherché : Profil recherché Bac+5 en informatique / cyber",,CDI,informatique electronique secteur informatique responsable cybersécurité rssi casablanca informatique electronique secteur informatique expert poste casablanca région maroc minimum ecole ingénieur recherche nouveauté besoin réflexion besoin autonomie implication travail ambition télétravail hybride post management publier jour rekrute postulez aime entreprise poste définir déployer politique sécurité piloter gestion risque cyber conformité superviser sécurité opérationnel gestion incident vulnérabiliter intégrer sécurité projet security design assurer pilotage audit suivi recommandation mettre place indicateur performance sécurité sensibiliser équipe enjeu cybersécurité profil rechercher profil rechercher informatique cyber
Chef de Service Marketing,SMM-Socodam-Davum,BTP / Génie Civil,CASABLANCA (Maroc),"Emploi - SMM-Socodam-Davum Entreprise: SMM-Socodam-Davum Secteur: BTP / Génie Civil Postes proposés: 2 Description: Smm-Socodam-Davum, acteur de référence dans l’industrie des matériaux de construction et de la métallurgie, joue depuis près d’un siècle, un rôle grandissant dans le développement des infrastructures de base du Maroc moderne.

Smm-Socodam-Davum fait partie du groupe Safari

Grâce à son savoir-faire unique, elle a contribué notamment à la réalisation de barrages hydrauliques, de ponts autoroutiers, de ports, de complexes sportifs et culturels et bien d’autres édifices... [+] Smm-Socodam-Davum , acteur de référence dans l’industrie des matériaux de construction et de la métallurgie, joue depuis près d’un siècle, un rôle grandissant dans le développement des infrastructures de base du Maroc moderne. Smm-Socodam-Davum fait partie du groupe Safari Grâce à son savoir-faire unique, elle a contribué notamment à la réalisation de barrages hydrauliques, de ponts autoroutiers, de ports, de complexes sportifs et culturels et bien d’autres édifices à connotation socio-économique. Smm-Socodam-Davum est le fruit d’une alliance stratégique et d’une fusion historique entre la Société ","Lancer 4K Chef de Service Marketing | CASABLANCA (Maroc) 2 Chef de Service Marketing recherché par Smm-Socodam-Davum, acteur majeur de l'industrie des matériaux de construction. Vos missions incluront la veille concurrentielle, la gestion de la commu",CDI,chef service marketing emploi socodam davum entreprise socodam davum secteur génie civil poste proposer description socodam davum acteur référence industrie matériau construction métallurgie joue siècle rôle grandissant développement infrastructure base maroc moderne socodam davum partie groupe safari grâce savoir faire unique contribuer réalisation barrage hydraulique pont autoroutier port complexe sportif culturel bien édifice socodam davum acteur référence industrie matériau construction métallurgie joue siècle rôle grandissant développement infrastructure base maroc moderne socodam davum partie groupe safari grâce savoir faire unique contribuer réalisation barrage hydraulique pont autoroutier port complexe sportif culturel bien édifice connotation socio économique socodam davum fruit alliance stratégique fusion historique société génie civil
Assistanat de Direction / Services Généraux                                                                 - Secteur Comptabilité / Audit,,,,"Office Manager - Casablanca Assistanat de Direction / Services Généraux                                                                 - Secteur Comptabilité / Audit Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +3 Minimum
                                     - BTS / DUT Conventionnel Extraversion Flexibilité Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 26 jours sur ReKrute.com -
                                Postulez avant le 18/05/2026 J'aime Entreprise : Nous sommes un cabinet d'audit, d’expertise comptable et de conseil, inscrit au tableau de l’Ordre des Experts Comptables du Maroc et membre du réseau Moore Stephens International. Notre activité s'articule principalement autour du contrôle légal des sociétés, des missions d'audit contractuel, de supervision comptable, de conseil juridique et fiscal. Nous intervenons également sur des missions à forte valeur ajoutée telles que l'audit d'acquisition, le conseil financier et le conseil en organisation. Poste : Missions principales : En tant qu’Office Manager, vous ",,CDI,assistanat direction service général secteur comptabilité audit office manager casablanca assistanat direction service général secteur comptabilité audit intermédiaire poste casablanca région maroc minimum devoir conventionnel extraversion flexibilité organisation télétravail post management publier jour rekrute postulez aime entreprise être cabinet audit expertise comptable conseil inscrire tableau ordre expert comptable maroc membre réseau moor stephen international articuler principalement autour contrôle légal société mission audit contractuel supervision comptable conseil juridique fiscal intervenir mission fort valeur ajouter audit acquisition conseil financier conseil organisation poste mission principal office manager
Production / Qualité / Sécurité / Maintenance- Méthodes / Process / Industrialisation- Secteur Distribution								-,,,,"Ingénieur Responsable Technique & Actifs - Casablanca Production / Qualité / Sécurité / Maintenance - Méthodes / Process / Industrialisation - Secteur Distribution								- Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +5 et plus Minimum
                                     - Ecole d'ingénieur Recherche de nouveauté Respect des règles Ténacité Créativité Besoin d'objectivité Flexibilité Besoin de réflexion Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 27 jours sur ReKrute.com -
                                Postulez avant le 23/04/2026 J'aime Entreprise : Une filiale du Groupe LabelVie recrute ! Poste : Rattaché à la direction des Actifs, votre rôle est d’assurer le bon état de fonctionnement des équipements du site en vue de répondre aux objectifs en matière de coût, hygiène, qualité et sécurité. Pour cela, vos domaines d’activités sont: Gestion technique du site Suivi des prestataires Maintenance préventive et curative Reporting d'exploitation Profil recherché : De formation Bac+5 Master/Ingénieur, vous justifiez d'",,CDI,production qualité sécurité maintenance méthode process industrialisation secteur distribution ingénieur responsable technique actif casablanca production qualité sécurité maintenance méthode process industrialisation secteur distribution intermédiaire poste casablanca région maroc minimum ecole ingénieur recherche nouveauté respect règle ténacité créativité besoin objectivité flexibilité besoin réflexion organisation télétravail post management publier jour rekrute postulez aime entreprise filiale groupe labelvie recrute post rattacher direction actif rôle assurer état fonctionnement équipement site répondre objectif matière coût hygiène qualité sécurité domaine gestion technique site suivre prestataire maintenance préventif curatif reporting exploitation profil rechercher formation master ingénieur justifier
Directeur Administratif et Financier,Aba Technology,Informatique,Casablanca (Maroc),"Emploi - Aba Technology Entreprise: Aba Technology Secteur: Informatique Postes proposés: 3 Description: ABA Technology se positionne en tant que co-constructeur de grandes transformations disruptives – une galaxie technologique – avec comme mission de contribuer au développement des nations plus connectées, durables et résilientes par la puissance de l’électronique, du numérique et du life science. ABA Technology se positionne en tant que co-constructeur de grandes transformations disruptives – une galaxie technologique – avec comme mission de contribuer au développement des nations plus connectées, durables et résilientes par la puissance de l’électronique, du numérique et du life science. [-] Suivre 1                        - 3 sur 3 Page 1 sur            
             1 Lancer 4K Directeur Administratif et Financier | Casablanca (Maroc) 2 ABA Technology recherche un Directeur Administratif et Financier expérimenté (10-15 ans) avec une expertise en Big4 et en entreprise. Vous piloterez la performance financière, la fiscalité, le contrôle de gestion et la trésorerie dans un environnement multi-entités. Idéal pour un leader stratégique et analytique souhaitant structurer les proce","Lancer 4K Directeur Administratif et Financier | Casablanca (Maroc) 2 ABA Technology recherche un Directeur Administratif et Financier expérimenté (10-15 ans) avec une expertise en Big4 et en entreprise. Vous piloterez la performance financière, la f",CDI,directeur administratif financier emploi technology entreprise technology secteur informatique poste proposer description technology positionner constructeur grand transformation disruptif galaxie technologique mission contribuer développement nation connecter durable résilienter puissance électronique numérique life science technology positionner constructeur grand transformation disruptif galaxie technologique mission contribuer développement nation connecter durable résilienter puissance électronique numérique life science page lancer directeur administratif financier casablanca maroc technology recherche directeur administratif financier expérimenté expertise entreprise piloter performance financier fiscalité contrôle gestion trésorerie environnement multi entiter idéal leader stratégique analytique souhaiter structurer proce informatique
RH / Personnel / Formation                                                                 - Secteur Agroalimentaire,,,,"un chargé d’administration du personnel - Casablanca RH / Personnel / Formation                                                                 - Secteur Agroalimentaire Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +3 
                                     - Université Respect des règles Flexibilité Ambition CDI Télétravail : Non Publiée il y a 27 jours sur ReKrute.com -
                                Postulez avant le 17/05/2026 J'aime Entreprise : Grand acteur de la restauration recrute pour son compte un (e) chargé(e) d’administration du personnel Poste : Dans le cadre du renforcement de notre équipe RH, nous recrutons un(e) Chargé(e) de l’Administration du Personnel. Missions principales : Assurer la gestion administrative du personnel ( dossiers salariés, attestations…) Suivre les entrées et sorties des collaborateurs Gérer les absences, congés et éléments variables de paie Préparer et contrôler les données liées à la paie Profil recherché : • Bac+3 à Bac+5 en Ressources Humaines ou équivalent • Première expérience réussie dans un poste si",,CDI,personnel formation secteur agroalimentaire chargé administration personnel casablanca personnel formation secteur agroalimentaire intermédiaire poste casablanca région maroc université respect règle flexibilité ambition télétravail publier jour rekrute postulez aime entreprise grand acteur restauration recrut compte charger administration personnel poste cadre renforcement équipe recruter charger administration personnel mission principal assurer gestion administratif personnel dossier salarier attestation entrée sortie collaborateur gérer absence congé élément variable paie préparer contrôler donnée lier paie profil rechercher ressource humain équivaloir expérience réussir poste
Assistant - Travel Agency - Casablanca,Hayyak Tourism,Tourisme / Voyage / Loisirs,Casablanca (Maroc),"Emploi - Hayyak Tourism Entreprise: Hayyak Tourism Secteur: Tourisme / Voyage / Loisirs Postes proposés: 1 Description: Hayyak Tourism is a Moroccan travel company offering authentic and personalized experiences across the country’s cities, mountains, and deserts. We provide tailor-made tours, professional local guides, and reliable service to ensure every visitor discovers the true beauty and culture of Morocco. Our mission is to combine excellence with deep respect for local communities and environments. Join a passionate, dynamic team and help us create unforgettable journeys for our clients—especially in the high-potential Gulf markets . Hayyak Tourism is a Moroccan travel company offering authentic and personalized experiences across the country’s cities, mountains, and deserts. We provide tailor-made tours, professional local guides, and reliable service to ensure every visitor discovers the true beauty and culture of Morocco. Our mission is to combine excellence with deep respect for local communities and environments. Join a passionate, dynamic team and help us create unforgettable journeys for our clients—especially in the high-potential Gulf markets . [-] Suivre 1        ","Lancer 4K Assistant - Travel Agency - Casablanca | Casablanca (Maroc) 3 Hayyak Tourism recherche un(e) Assistant(e) dynamique à Casablanca pour soutenir les opérations quotidiennes et l'équipe. Ce rôle implique la gestion d'agendas, l'organisation de",CDI,assister travel agency casablanca emploi hayyak tourism entreprendre hayyak tourism secteur tourism voyage loisir poste proposer description hayyak tourism moroccan travel company offering authentic personalized experience country citie mountain deserts provide tailor made tour professional local guide reliable service ensure every visitor discover true beauty culture morocco mission combine excellence with deep respect local communitier environment join passionate dynamic team help create unforgettabl journeys client especially high potential gulf market hayyak tourism moroccan travel company offering authentic personalized experience country citie mountain deserts provide tailor made tour professional local guide reliable service ensure every visitor discover true beauty culture morocco mission combine excellence with deep respect local communitier environment join passionate dynamic team help create unforgettabl journeys client especially high potential gulf market tourisme voyage loisir
Développeur backend .NET Core / IA (H/F),Oceane Consulting IT Maroc,Informatique,Casablanca (Maroc),"Emploi - Oceane Consulting IT Maroc Entreprise: Oceane Consulting IT Maroc Secteur: Informatique Postes proposés: 3 Description: Océane Consulting Group a été fondé fin 2008 suite au rachat d’une SSII.
La société offre à une clientèle de moyennes et grandes entreprises des prestations de services informatiques. Depuis 2009, le chiffre d’affaires (18 M€ en 2013) a été multiplié par 6 en 5 ans.

Océane Consulting compte actuellement 250 collaborateurs intervenant en assistance technique ou en mode forfaitaire auprès de ses clients situés en Ile-de-France, dans les Régions lilloise, grand Ouest et... [+] Océane Consulting Group a été fondé fin 2008 suite au rachat d’une SSII. La société offre à une clientèle de moyennes et grandes entreprises des prestations de services informatiques. Depuis 2009, le chiffre d’affaires (18 M€ en 2013) a été multiplié par 6 en 5 ans. Océane Consulting compte actuellement 250 collaborateurs intervenant en assistance technique ou en mode forfaitaire auprès de ses clients situés en Ile-de-France, dans les Régions lilloise, grand Ouest et lyonnaise. La culture d’entreprise est orientée vers l’Engagement, le Travail d’équipe et le Respect avec la possibilit","Lancer 4K Développeur backend .NET Core / IA (H/F) | Casablanca (Maroc) 3 Développeur Backend .NET Core / IA (H/F) recherche pour un projet innovant. Votre mission : utiliser l'IA générative pour maximiser votre productivité, définir l'architecture t",CDI,développeur backend core heure emploi oceane consulting maroc entreprise oceane consulting maroc secteur informatique poste proposer description océane consulting group être fonder suite rachat ssii société offrir clientèle moyenne grand entreprise prestation service informatique chiffre affaire être multiplier océane consulting compte actuellement collaborateur intervenir assistance technique mode forfaitaire auprès client situer france région lillois grand ouest océane consulting group être fonder suite rachat ssii société offrir clientèle moyenne grand entreprise prestation service informatique chiffre affaire être multiplier océane consulting compte actuellement collaborateur intervenir assistance technique mode forfaitaire auprès client situer france région lillois grand ouest lyonnais culture entreprise orienter engagement travail équipe respect possibilit informatique
Commercial Terrain - Expérimenté (H/F),DECO VERRE,Autres services,Tout le Maroc (Maroc),"Emploi - DECO VERRE Entreprise: DECO VERRE Secteur: Autres services Postes proposés: 2 Description: Transformation et Décoration de Goblerie, de Verre, de Bouteilles et Bocaux Transformation et Décoration de Goblerie, de Verre, de Bouteilles et Bocaux [-] Suivre 1                        - 1 sur 1 Page 1 sur            
             1 Lancer 4K Commercial Terrain - Expérimenté (H/F) | Tout le Maroc (Maroc) 5 DECO VERRE recherche un Commercial Expérimenté (H/F) pour développer son activité de décoration sur verre. Vous serez responsable de la gestion d'un portefeuille clients, de la prospection, et de la promotion de nos produits. Une expérience confirmée de 10 ans en vente et un excellent sens de la négociation sont requis. Publication : du 17/03/2026 au 13/05/2026 |  Postes proposés: 2 Secteur d'activité : Autres Industries - Autres services Fonction : Commercial / Vente / Export , Distribution (métiers de la) Expérience requise : Confirmé (5 à 10 ans) - Expert (10 à 20 ans) Niveau d'étude demandé : Bac +2 Type de contrat proposé : CDI - Télétravail : Non 1                        - 1 sur 1 Page 1 sur            
             1","Lancer 4K Commercial Terrain - Expérimenté (H/F) | Tout le Maroc (Maroc) 5 DECO VERRE recherche un Commercial Expérimenté (H/F) pour développer son activité de décoration sur verre. Vous serez responsable de la gestion d'un portefeuille clients, de l",CDI,commercial terrain expérimenté heure emploi deco verre entreprise deco verre secteur service poste proposer description transformation décoration goblerie verre bouteille bocal transformation décoration goblerie verre bouteille bocal page lancer commercial terrain expérimenté heure maroc maroc deco verre recherche commercial expérimenté heure développer décoration verre être responsable gestion portefeuill client prospection promotion produit expérience confirmer vente excellent sens négociation requérir publication poste proposer secteur industrie service fonction commercial vente export distribution métier expérience requérir confirmer expert niveau étude demander type contrat proposer télétravail page service
Order Coordinator,Hubei Forbon Technology,Agriculture / Environnement,El Jadida (Maroc),"Emploi - Hubei Forbon Technology Entreprise: Hubei Forbon Technology Secteur: Agriculture / Environnement Postes proposés: 1 Description: Forbon is a listed company, stock code 300387. In the traditional fertilizer additives, Forbon is the Asia‘s largest fertilizer additives and service enterprise. Forbon  merged  Holland Novochem company which is the leading additives European enterprises  in 2015.  Forbon  merged  french PST company which is the LDAN  additives enterprises  in 2017. Forbon became the leading company in the fertilizer additives all over the world.

In the agriculture big data and intelligent agriculture, Forbon holding  the SoilOptix company in Canada with... [+] Forbon is a listed company, stock code 300387. In the traditional fertilizer additives, Forbon is the Asia‘s largest fertilizer additives and service enterprise. Forbon  merged  Holland Novochem company which is the leading additives European enterprises  in 2015.  Forbon  merged  french PST company which is the LDAN  additives enterprises  in 2017. Forbon became the leading company in the fertilizer additives all over the world. In the agriculture big data and intelligent agriculture, Forbon holding  the","Lancer 4K Order Coordinator | El Jadida (Maroc) 4 Forbon recrute un coordinateur de commandes à El Jadida. Vos responsabilités incluent la gestion des commandes de bout en bout, la coordination logistique et la liaison avec les clients et les équipes",CDD,order coordinator emploi hubei forbon technology entreprise hubei forbon technology secteur agricultur environnement poste proposer description forbon listed company stock code traditional fertilizer additif forbon asier largest fertilizer additive service enterpris forbon merged holland novochem company which leading additive european enterpriser forbon merged french company which ldan additif enterpriser forbon became leading company fertilizer additiver over world agriculture dater intelliger agriculture forbon holding soiloptix company canada with forbon listed company stock code traditional fertilizer additif forbon asier largest fertilizer additive service enterpris forbon merged holland novochem company which leading additive european enterpriser forbon merged french company which ldan additif enterpriser forbon became leading company fertilizer additiver over world agriculture dater intelliger agriculture forbon holding agricultur environnement
Développeur Web WordPress Junior / Stage préembauche  Casablanca,Distamed sarl,Matériel Médical,Casablanca (Maroc),"Emploi - Distamed sarl Entreprise: Distamed sarl Secteur: Matériel Médical Postes proposés: 2 Description: Distamed occupe une place de leader sur le marché marocain des dispositifs médicaux, avec un réseau puissant de partenaires, publics et privés et de nombreuses installations à travers le pays.

Depuis sa création, Distamed n’a cessé d’améliorer son savoir-faire et ses compétences pour pouvoir poursuivre les changements des systèmes de santé et concevoir des solutions globales et efficace, pour affronter les défis du quotidien. Distamed se démarque par son... [+] Distamed occupe une place de leader sur le marché marocain des dispositifs médicaux, avec un réseau puissant de partenaires, publics et privés et de nombreuses installations à travers le pays. Depuis sa création, Distamed n’a cessé d’améliorer son savoir-faire et ses compétences pour pouvoir poursuivre les changements des systèmes de santé et concevoir des solutions globales et efficace, pour affronter les défis du quotidien. Distamed se démarque par son expertise dans la vente du matériel médical le plus utilisé les domaines de cardiologie, pneumologie,neurologie, exploration du sommeil, réadaptation multidisciplinair","Lancer 4K Développeur Web WordPress Junior / Stage préembauche  Casablanca | Casablanca (Maroc) 5 Distamed recrute un Développeur Web WordPress Junior (Stage préembauche) à Casablanca. Vos missions incluront la maintenance, le développement et l'opti",CDI,développeur wordpress junior stage préembauch casablanca emploi distamed sarl entreprise distamed sarl secteur matériel médical poste proposer description distamed occuper place leader marché marocain dispositif médical réseau puisser partenaire public priver installation travers pays création distamed cesser améliorer savoir faire compétence pouvoir poursuivre changement système santé concevoir solution global efficace affronter défi quotidien distamed démarqu distamed occuper place leader marché marocain dispositif médical réseau puisser partenaire public priver installation travers pays création distamed cesser améliorer savoir faire compétence pouvoir poursuivre changement système santé concevoir solution global efficace affronter défi quotidien distamed démarqu expertise vente matériel médical utiliser domaine cardiologie pneumologie neurologi exploration sommeil réadaptation multidisciplinair matériel médical
Senior Software Engineer/JAVA/Node.js,Capgemini,Informatique,Casablanca (Maroc),"Emploi - Capgemini Entreprise: Capgemini Secteur: Informatique Postes proposés: 62 Description: Capgemini est un leader mondial, responsable et multiculturel, regroupant 325 000 personnes dans plus de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie, le Groupe est guidé au quotidien par sa raison d’être : libérer les énergies humaines par la technologie pour un avenir inclusif et durable.

Fort de 55 ans d’expérience et d’une grande expertise des différents secteurs d’activité, Capgemini est reconnu par... [+] Capgemini est un leader mondial, responsable et multiculturel, regroupant 325 000 personnes dans plus de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie, le Groupe est guidé au quotidien par sa raison d’être : libérer les énergies humaines par la technologie pour un avenir inclusif et durable. Fort de 55 ans d’expérience et d’une grande expertise des différents secteurs d’activité, Capgemini est reconnu par ses clients pour répondre à l’ensemble de leurs besoins, de la stratégie et ","Lancer 4K Senior Software Engineer/JAVA/Node.js | Casablanca (Maroc) 1 Capgemini recrute un Développeur Java / Node.js / Angular confirmé pour ses équipes au Maroc. Vous concevrez, développerez et maintiendrez des applications backend, participerez a",CDI,senior software engineer java node emploi capgemini entreprise capgemini secteur informatique poste proposer description capgemini leader mondial responsable multiculturel regrouper personne pays partenaire stratégique entreprise transformation tirer profit puissance technologie groupe guider quotidien raison libérer énergie humain technologie avenir inclusif durable fort expérience grand expertise secteur capgemini reconnaître capgemini leader mondial responsable multiculturel regrouper personne pays partenaire stratégique entreprise transformation tirer profit puissance technologie groupe guider quotidien raison libérer énergie humain technologie avenir inclusif durable fort expérience grand expertise secteur capgemini reconnaître client répondre ensemble besoin stratégie informatique
Audit / Conseil                                                                 - Secteur Assurance / Courtage								- Banque / Finance,,,,"Auditeur interne junior - Casablanca Audit / Conseil                                                                 - Secteur Assurance / Courtage								- Banque / Finance Junior (1 à 3 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +5 et plus Maximum
                                     - Master Besoin d'objectivité Intuition / Spontanéité Flexibilité Besoin de réflexion Travail en équipe Equilibre personnel Ambition Improvisation CDI Télétravail : Non Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Acteur de référence dans le secteur des assurances au Maroc, notre compagnie œuvre depuis plusieurs années pour offrir des solutions d’assurance et de réassurance innovantes, fiables et adaptées aux besoins de nos clients Poste : Rejoignez une entreprise dynamique du secteur de l' Assurance en tant qu' Auditeur interne junior . Basé(e) à Casablanca , vous aurez pour mission principale de contribuer à l'évaluation et à l'amélioration des processus internes, garantissant ainsi la conformité et l'e",,CDI,audit conseil secteur assurance courtage banqu finance auditeur interne junior casablanca audit conseil secteur assurance courtage banqu finance junior poste casablanca région maroc maximum master besoin objectivité intuition spontanéité flexibilité besoin réflexion travail équipe equilibr personnel ambition improvisation télétravail publier jour rekrute postulez aime entreprise acteur référence secteur assurance maroc compagnie uvre année offrir solution assurance réassurance innovant fiable adapter besoin client poste rejoindre entreprise dynamique secteur assurance auditeur interne junior baser casablanca avoir mission principal contribuer évaluation amélioration processus interne garantir conformité
Informatique / Electronique                                                                 - Secteur Assurance / Courtage								- Banque / Finance,,,,"Ingénieur développement .NET - casablanca Informatique / Electronique                                                                 - Secteur Assurance / Courtage								- Banque / Finance Intermédiaire (3 à 5 ans)                                     - Confirmé (5 à 10 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +5 et plus Minimum
                                     - Ecole d'ingénieur                                     - Master Créativité Sensibilité émotionnelle Intuition / Spontanéité Besoin d'action Besoin d'autonomie Implication au travail CDI Télétravail : Non Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Acteur de référence dans le secteur des assurances au Maroc, notre compagnie œuvre depuis plusieurs années pour offrir des solutions d’assurance et de réassurance innovantes, fiables et adaptées aux besoins de nos clients Poste : Rejoignez notre dynamique entreprise dans le secteur de l' Assurance Situé au cœur de Casablanca , nous vous proposons de vous épanouir en tant qu' In",,CDI,informatique electronique secteur assurance courtage banqu finance ingénieur développement casablanca informatique electronique secteur assurance courtage banqu finance intermédiaire confirmer poste casablanca région maroc minimum ecole ingénieur master créativité sensibilité émotionnel intuition spontanéité besoin besoin autonomie implication travail télétravail publier jour rekrute postulez aime entreprise acteur référence secteur assurance maroc compagnie uvre année offrir solution assurance réassurance innovant fiable adapter besoin client poste rejoindre dynamique entreprendre secteur assurance situer casablanca proposer épanouir
